name,device_role,tenant,manufacturer,device_type,platform,serial,asset_tag,status,site,location,rack,position,face,airflow,virtual_chassis,vc_position,vc_priority,cluster,comments
CL-HEAD,oct,,Dell,PowerEdge R740,,19369N2,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,38,front,,,,,,
CL-MASS-01,oct,,Dell,PowerEdge R640,,HCSS8N2,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,37,front,,,,,,
CL-MASS-02,oct,,Dell,PowerEdge R640,,HCRX8N2,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,36,front,,,,,,
CL-MASS-03,oct,,Dell,PowerEdge R640,,HCST8N2,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,35,front,,,,,,
CL-MASS-04,oct,,Dell,PowerEdge R640,,HCRY8N2,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,34,front,,,,,,
CL-MASS-05,oct,,Dell,PowerEdge R640,,HCRZ8N2,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,33,front,,,,,,
CL-MASS-06,oct,,Dell,PowerEdge R630,,21Z5T52,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,32,front,,,,,,
CL-MASS-07,oct,,Dell,PowerEdge R630,,2202T52,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,31,front,,,,,,
CL-MASS-08,oct,,Dell,PowerEdge R630,,4JCBV52,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,30,front,,,,,,
CL-MASS-09,oct,,Dell,PowerEdge R630,,2R96V52,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,29,front,,,,,,
CL-MASS-10,oct,,Dell,PowerEdge R630,,5JJD942,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,28,front,,,,,,
CL-MASS-11,oct,,Dell,PowerEdge R630,,4HGCS52,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,27,front,,,,,,
CL-MASS-12,oct,,Dell,PowerEdge R630,,2R95V52,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,26,front,,,,,,
CL-MASS-13,oct,,Dell,PowerEdge R630,,7GVD942,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,25,front,,,,,,
CL-MASS-14,oct,,Dell,PowerEdge R630,,21P3T52,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,24,front,,,,,,
CL-MASS-15,oct,,Dell,PowerEdge R630,,2WGZS52,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,23,front,,,,,,
CL-MASS-16,oct,,Dell,PowerEdge R630,,5JKB942,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,22,front,,,,,,
CL-MASS-17,oct,,Dell,PowerEdge R630,,5JJF942,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,21,front,,,,,,
CL-MASS-18,oct,,Dell,PowerEdge R630,,5HQC942,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,20,front,,,,,,
CL-MASS-19,oct,,Dell,PowerEdge R630,,5JF8942,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,19,front,,,,,,
CL-MASS-20,oct,,Dell,PowerEdge R630,,2203T52,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,18,front,,,,,,
CL-MASS-21,oct,,Dell,PowerEdge R630,,21Q2T52,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,17,front,,,,,,
CL-MASS-22,oct,,Dell,PowerEdge R630,,2RM8V52,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,16,front,,,,,,
CL-MASS-23,oct,,Dell,PowerEdge R630,,2RN2V52,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,15,front,,,,,,
CL-MASS-24,oct,,Dell,PowerEdge R630,,8FRTS52,,active,MGHPCC,Row1/PodB,Row1/PodB/Cage19,14,front,,,,,,
OCT1-00,oct,,Dell,PowerEdge R630,,4JC6V52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,1,front,,,,,,
OCT1-01,oct,,Dell,PowerEdge R630,,2204T52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,2,front,,,,,,
OCT1-02,oct,,Dell,PowerEdge R630,,21Q0T52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,3,front,,,,,,
OCT1-03,oct,,Dell,PowerEdge R630,,2201T52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,4,front,,,,,,
OCT1-04,oct,,Dell,PowerEdge R630,,2R54V52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,5,front,,,,,,
OCT1-05,oct,,Dell,PowerEdge R630,,2206T52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,6,front,,,,,,
OCT1-06,oct,,Dell,PowerEdge R630,,4JD2V52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,7,front,,,,,,
OCT1-07,oct,,Dell,PowerEdge R630,,JR18T52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,8,front,,,,,,
OCT1-08,oct,,Dell,PowerEdge R630,,2211T52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,9,front,,,,,,
OCT1-09,oct,,Dell,PowerEdge R630,,2RM5V52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,10,front,,,,,,
OCT1-10,oct,,Dell,PowerEdge R630,,2RBCV52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,11,front,,,,,,
OCT1-11,oct,,Dell,PowerEdge R630,,2R56V52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,12,front,,,,,,
OCT1-12,oct,,Dell,PowerEdge R630,,J89ZT52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,13,front,,,,,,
OCT1-13,oct,,Dell,PowerEdge R630,,2R4BV52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,14,front,,,,,,
OCT1-14,oct,,Dell,PowerEdge R630,,JR1WT52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,15,front,,,,,,
OCT1-15,oct,,Dell,PowerEdge R630,,2R88V52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,16,front,,,,,,
OCT1-16,oct,,Dell,PowerEdge R630,,5GC8942,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,17,front,,,,,,
OCT1-17,oct,,Dell,PowerEdge R630,,60V8KB2,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,18,front,,,,,,
OCT1-18,oct,,Dell,PowerEdge R630,,2R4CV52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,19,front,,,,,,
OCT1-19,oct,,Dell,PowerEdge R630,,2212T52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,20,front,,,,,,
OCT1-20,oct,,Dell,PowerEdge R630,,21Q3T55,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,21,front,,,,,,
OCT1-21,oct,,Dell,PowerEdge R630,,2R28V52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,22,front,,,,,,
OCT1-22,oct,,Dell,PowerEdge R630,,8M1RS52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,23,front,,,,,,
OCT1-23,oct,,Dell,PowerEdge R630,,8FRXS52,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,24,front,,,,,,
OCT1-24,oct,,Dell,PowerEdge R620,,7F1F942,,active,MGHPCC,Row1/PodC,Row1/PodC/Cage8,25,front,,,,,,
